Adress,Hemsida,Kategori,Namn,NormalizedAdress,lat,lon,geocode_status,geocode_display_name,OSMWebsite,WebsiteFinal,OSMEmail,EmailFinal
Hantverkargatan 45,,Bibliotek,,"Hantverkargatan 45, Stockholm",59.3292665,18.0411914,ok,"Hantverkargatan, Kungsholmen, Kungsholmens stadsdelsområde, Stockholm, Stockholms kommun, Stockholms län, 112 23, Sverige",,,,
Banérgatan 62,,Bibliotek,,"Banérgatan 62, Stockholm",59.341303,18.0985922,ok,"62, Banérgatan, Gärdeshöjden, Ladugårdsgärdet, Norra innerstadens stadsdelsområde, Stockholm, Stockholms kommun, Stockholms län, 115 29, Sverige",,,,
Banérgatan 64,,Bibliotek,,"Banérgatan 64, Stockholm",59.3417551,18.0984073,ok,"64, Banérgatan, Gärdeshöjden, Ladugårdsgärdet, Norra innerstadens stadsdelsområde, Stockholm, Stockholms kommun, Stockholms län, 115 29, Sverige",,,,
Brinellvägen 58,,Bibliotek,,"Brinellvägen 58, Stockholm",59.3532315,18.0665556,ok,"58, Brinellvägen, Ruddammen, Norra Djurgården, Norra innerstadens stadsdelsområde, Stockholm, Stockholms kommun, Stockholms län, 100 44, Sverige",,,,
Djurgårdsbrunnsvägen 24,,Bibliotek,,"Djurgårdsbrunnsvägen 24, Stockholm",59.3326212,18.1157271,ok,"24, Djurgårdsbrunnsvägen, Lindarängen, Ladugårdsgärdet, Norra innerstadens stadsdelsområde, Stockholm, Stockholms kommun, Stockholms län, 115 27, Sverige",,,,
Djurgårdsvägen 10,,Bibliotek,,"Djurgårdsvägen 10, Stockholm",59.1937054,18.1862294,ok,"10, Djurgårdsvägen, Söderby, Handen, Haninge kommun, Stockholms län, 136 71, Sverige",,,,
Drottning Kristinas väg 37,,Bibliotek,,"Drottning Kristinas väg 37, Stockholm",59.3491458,18.0694968,ok,"37, Drottning Kristinas Väg, Ruddammen, Norra Djurgården, Norra innerstadens stadsdelsområde, Stockholm, Stockholms kommun, Stockholms län, 114 28, Sverige",,,,
Exercisplan 4,,Bibliotek,,"Exercisplan 4, Stockholm",59.325856,18.0843509,ok,"4, Exercisplan, Skeppsholmen, Norra innerstadens stadsdelsområde, Stockholm, Stockholms kommun, Stockholms län, 111 49, Sverige",,,,
Flaggmansvägen 1,,Bibliotek,,"Flaggmansvägen 1, Stockholm",59.3245737,18.0820912,ok,"Flaggmansvägen, Skeppsholmen, Norra innerstadens stadsdelsområde, Stockholm, Stockholms kommun, Stockholms län, 111 49, Sverige",,,,
Fredsgatan 12,,Bibliotek,,"Fredsgatan 12, Stockholm",59.3286831,18.0644249,ok,"12, Fredsgatan, Klara, Norrmalm, Norra innerstadens stadsdelsområde, Stockholm, Stockholms kommun, Stockholms län, 103 21, Sverige",,,,
Frescativägen 40,,Bibliotek,,"Frescativägen 40, Stockholm",59.3687947,18.0534787,ok,"40, Frescativägen, Frescati, Norra Djurgården, Norra innerstadens stadsdelsområde, Stockholm, Stockholms kommun, Stockholms län, 114 18, Sverige",,,,
Fyrverkarbacken 13,,Bibliotek,,"Fyrverkarbacken 13, Stockholm",59.3268258,18.0225657,ok,"13, Fyrverkarbacken, Marieberg, Kungsholmens stadsdelsområde, Stockholm, Stockholms kommun, Stockholms län, 100 26, Sverige",,,,
Holmamiralens väg 2,,Bibliotek,,"Holmamiralens väg 2, Stockholm",59.3246767,18.083498,ok,"Holmamiralens Väg, Skeppsholmen, Norra innerstadens stadsdelsområde, Stockholm, Stockholms kommun, Stockholms län, 111 49, Sverige",,,,
Humlegårdsgatan 26,,Bibliotek,,"Humlegårdsgatan 26, Stockholm",59.3380801,18.0720383,ok,"26, Humlegårdsgatan, Eriksberg, Östermalm, Norra innerstadens stadsdelsområde, Stockholm, Stockholms kommun, Stockholms län, 114 46, Sverige",,,,
Karlavägen 104,,Bibliotek,,"Karlavägen 104, Stockholm",59.3357493,18.0981976,ok,"104, Karlavägen, Östermalm, Norra innerstadens stadsdelsområde, Stockholm, Stockholms kommun, Stockholms län, 115 26, Sverige",,,,
Klara norra kyrkogata 34,,Bibliotek,,"Klara norra kyrkogata 34, Stockholm",59.3347646,18.0576208,ok,"34, Klara Norra Kyrkogata, Klara, Norrmalm, Norra innerstadens stadsdelsområde, Stockholm, Stockholms kommun, Stockholms län, 111 22, Sverige",,,,
Kräftriket 21A,,Bibliotek,,"Kräftriket 21A, Stockholm",59.3561365,18.053802,ok,"Kräftriket, Albano, Norra Djurgården, Norra innerstadens stadsdelsområde, Stockholm, Stockholms kommun, Stockholms län, 114 19, Sverige",,,,
Kräftriket 6B,,Bibliotek,,"Kräftriket 6B, Stockholm",59.3561365,18.053802,ok,"Kräftriket, Albano, Norra Djurgården, Norra innerstadens stadsdelsområde, Stockholm, Stockholms kommun, Stockholms län, 114 19, Sverige",,,,
"Alfred Nobels Allé 7, 141 89 Huddinge",,Bibliotek,Södertörns högskolebibliotek,"Alfred Nobels Allé 7, 141 89 Huddinge",59.219461,17.9430918,ok,"7, Alfred Nobels Allé, Visättra, Flemingsberg, Huddinge, Huddinge kommun, Stockholms län, 141 57, Sverige",,,,
Folkets hus väg 5,,Bibliotek,Herrängs bibliotek,"Folkets hus väg 5, Stockholm",,,not_found,,,,,
Norra uppsalavägen 15,,Bibliotek,Hallstaviks bibliotek,"Norra uppsalavägen 15, Stockholm",60.0500342,18.5958667,ok,"Hallstaviks bibliotek, 15, Norra Uppsalavägen, Skärsta, Hallstavik, Norrtälje kommun, Stockholms län, 763 40, Sverige",,,,
Lidingövägen 1,,Bibliotek,,Lidingövägen 1,59.3452111,18.078824,ok,"Stockholms Olympiastadion, 1, Lidingövägen, Ladugårdsgärdet, Norra innerstadens stadsdelsområde, Stockholm, Stockholms kommun, Stockholms län, 114 33, Sverige",,,,
LM Ericssons väg 14,,Bibliotek,,"LM Ericssons väg 14, Stockholm",59.2997731,17.9942096,ok,"Konstfack, 14, LM Ericssons Väg, Midsommarkransen, Hägersten-Älvsjö stadsdelsområde, Stockholm, Stockholms kommun, Stockholms län, 126 26, Sverige",,,,
Museivägen 7,,Bibliotek,,"Museivägen 7, Stockholm",59.3325056,18.1189933,ok,"7, Museivägen, Lindarängen, Ladugårdsgärdet, Norra innerstadens stadsdelsområde, Stockholm, Stockholms kommun, Stockholms län, 115 27, Sverige",,,,
Odengatan 61,,Bibliotek,,"Odengatan 61, Stockholm",59.3431901,18.0530572,ok,"61, Odengatan, Sibirien, Vasastaden, Norra innerstadens stadsdelsområde, Stockholm, Stockholms kommun, Stockholms län, 113 50, Sverige",,,,
Osquars backe 31,,Bibliotek,,"Osquars backe 31, Stockholm",59.3478558,18.0730189,ok,"31, Osquars Backe, Ruddammen, Norra Djurgården, Norra innerstadens stadsdelsområde, Stockholm, Stockholms kommun, Stockholms län, 100 44, Sverige",,,,
Roslagstullsbacken 21,,Bibliotek,,"Roslagstullsbacken 21, Stockholm",59.3534765,18.0579839,ok,"21, Roslagstullsbacken, Albano, Norra Djurgården, Norra innerstadens stadsdelsområde, Stockholm, Stockholms kommun, Stockholms län, 106 91, Sverige",,,,
Storgatan 41,,Bibliotek,,"Storgatan 41, Stockholm",59.334152,18.0901659,ok,"41, Storgatan, Östermalm, Norra innerstadens stadsdelsområde, Stockholm, Stockholms kommun, Stockholms län, 114 55, Sverige",,,,
Svante Arrhenius väg 12,,Bibliotek,,"Svante Arrhenius väg 12, Stockholm",59.3669138,18.0585166,ok,"Svante Arrhenius väg, Lappkärrsberget, Norra Djurgården, Norra innerstadens stadsdelsområde, Stockholm, Stockholms kommun, Stockholms län, 114 18, Sverige",,,,
Sveavägen 162,,Bibliotek,,"Sveavägen 162, Stockholm",59.3511533,18.0522022,ok,"162, Sveavägen, Sibirien, Vasastaden, Norra innerstadens stadsdelsområde, Stockholm, Stockholms kommun, Stockholms län, 113 46, Sverige",,,,
Torsgatan 19,,Bibliotek,,"Torsgatan 19, Stockholm",59.3371302,18.0425517,ok,"19, Torsgatan, Atlasområdet, Vasastaden, Norra innerstadens stadsdelsområde, Stockholm, Stockholms kommun, Stockholms län, 113 21, Sverige",,,,
Universitetvägen 10B,,Bibliotek,,"Universitetvägen 10B, Stockholm",,,not_found,,,,,
Universitetvägen 14D,,Bibliotek,,"Universitetvägen 14D, Stockholm",,,not_found,,,,,
Valhallavägen 136,,Bibliotek,,"Valhallavägen 136, Stockholm",59.3411153,18.0876617,ok,"136, Valhallavägen, Villastaden, Östermalm, Norra innerstadens stadsdelsområde, Stockholm, Stockholms kommun, Stockholms län, 115 20, Sverige",,,,
Valhallavägen 195,,Bibliotek,,"Valhallavägen 195, Stockholm",59.339381,18.102231,ok,"195, Valhallavägen, Ladugårdsgärdet, Norra innerstadens stadsdelsområde, Stockholm, Stockholms kommun, Stockholms län, 115 53, Sverige",,,,
Isafjordsgatan 26,,Bibliotek,,"Isafjordsgatan 26, Stockholm",59.4052481,17.9491163,ok,"26, Isafjordsgatan, Kista, Järva stadsdelsområde, Stockholm, Stockholms kommun, Stockholms län, 164 21, Sverige",,,,
"Kommunalvägen 28 A, 141 27 Huddinge",,Bibliotek,Huddinges huvudbibliotek,"Kommunalvägen 28 A, 141 27 Huddinge",59.2390141,17.9886017,ok,"Huddinge huvudbibliotek, 28A, Kommunalvägen, Kvarnbergsplan, Sjödalen, Huddinge, Huddinge kommun, Stockholms län, 141 61, Sverige",,,,
"Häradsvägen 252, 141 71 Segeltorp",,Bibliotek,Segeltorps bibliotek,"Häradsvägen 252, 141 71 Segeltorp",59.2785587,17.9433936,ok,"Häradsvägen, Jakobslund, Segeltorp, Huddinge kommun, Stockholms län, 141 71, Sverige",,,,
