source_file,row,name,city,category,website,lat_field,lon_field,pair_example,delete,reason
startup-stockholm-2025-10-13_17-23.xlsx - export.csv,938,Slakthuset,Stockholm,dance_club,https://slakthusen.se/,,,,,praesidia != 1
startup-stockholm-2025-10-13_17-23.xlsx - export.csv,939,Slaktkyrkan,Stockholm,music_venue,http://www.slakthusen.se/,,,,,praesidia != 1
startup-stockholm-2025-10-13_17-23.xlsx - export.csv,940,Slipvillan,Stockholm,arts_and_entertainment,http://www.slipvillan.org/,,,,,praesidia != 1
startup-stockholm-2025-10-13_17-23.xlsx - export.csv,941,Slottsarkivet,Stockholm,library,https://riksarkivet.se/,,,,,praesidia != 1
startup-stockholm-2025-10-13_17-23.xlsx - export.csv,942,Smedjan - Studieförbundet Bildas Rephus På Söder,Stockholm,music_venue,https://www.bilda.nu/lokaler/smedjan-replokal-stockholm,,,,,praesidia != 1
startup-stockholm-2025-10-13_17-23.xlsx - export.csv,943,Smedjan Blackeberg,Stockholm,arts_and_crafts,http://www.smedjanblackeberg.com/,,,,,praesidia != 1
startup-stockholm-2025-10-13_17-23.xlsx - export.csv,944,SMISK,Stockholm,mass_media,http://medieinstitutet.se/,,,,,praesidia != 1
startup-stockholm-2025-10-13_17-23.xlsx - export.csv,945,Små musiker,Stockholm,music_school,https://Ingen webbplats,,,,,praesidia != 1
startup-stockholm-2025-10-13_17-23.xlsx - export.csv,946,Snidare Arkitekter AB,Stockholm,architectural_designer,http://www.snidare.se/,,,,,praesidia != 1
startup-stockholm-2025-10-13_17-23.xlsx - export.csv,947,Snotty Live in Stockholm,Stockholm,music_venue,https://www.facebook.com/snottylive/?locale=sv_SE,,,,,praesidia != 1
startup-stockholm-2025-10-13_17-23.xlsx - export.csv,948,Snowflake Music,Stockholm,arts_and_entertainment,http://www.snowflakemusic.se/,,,,,praesidia != 1
startup-stockholm-2025-10-13_17-23.xlsx - export.csv,949,Snus and Tandsticks Museum,Stockholm,art_museum,http://www.snusochtandsticksmuseum.se/,,,,,praesidia != 1
startup-stockholm-2025-10-13_17-23.xlsx - export.csv,950,Snus- och Tändsticksmuseum,Stockholm,museum,https://www.snusochtandsticksmuseum.se/,,,,,praesidia != 1
startup-stockholm-2025-10-13_17-23.xlsx - export.csv,951,Sober Interior Design & Homestyling,Stockholm,architectural_designer,https://Ingen webbplats,,,,,praesidia != 1
startup-stockholm-2025-10-13_17-23.xlsx - export.csv,952,Soho House Stockholm,Stockholm,social_club,https://www.sohohouse.com/houses/soho-house-stockholm,,,,,praesidia != 1
startup-stockholm-2025-10-13_17-23.xlsx - export.csv,953,Solidaritetshuset,Stockholm,community_services_non_profits,http://www.solidaritetshuset.se/,,,,,praesidia != 1
startup-stockholm-2025-10-13_17-23.xlsx - export.csv,954,Sollidenscenen,Stockholm,music_venue,https://www.skansen.se/se-och-gora/sollidenscenen,,,,,praesidia != 1
startup-stockholm-2025-10-13_17-23.xlsx - export.csv,955,Somos Tango Stockholm,Stockholm,dance_school,https://somostango.se/,,,,,praesidia != 1
startup-stockholm-2025-10-13_17-23.xlsx - export.csv,956,Soonfamous Galleri,Stockholm,art_gallery,https://www.soonfamous.nu/,,,,,praesidia != 1
startup-stockholm-2025-10-13_17-23.xlsx - export.csv,957,Sound Pollution Distribution,Stockholm,record_label,http://www.soundpollutiondistribution.se/,,,,,praesidia != 1
startup-stockholm-2025-10-13_17-23.xlsx - export.csv,958,Spectrum Arkitekter,Stockholm,arts_and_entertainment,https://www.spectrumarkitekter.se/,,,,,praesidia != 1
startup-stockholm-2025-10-13_17-23.xlsx - export.csv,959,Sprallen,Stockholm,arts_and_entertainment,https://m.facebook.com/sprallendansbana/,,,,,praesidia != 1
startup-stockholm-2025-10-13_17-23.xlsx - export.csv,960,Spritmuseum,Stockholm,history_museum,http://www.spritmuseum.se/,,,,,praesidia != 1
startup-stockholm-2025-10-13_17-23.xlsx - export.csv,961,Spritmuseum,Stockholm,museum,http://spritmuseum.se/,,,,,praesidia != 1
startup-stockholm-2025-10-13_17-23.xlsx - export.csv,962,Spånga Bibliotek,Stockholm,library,https://biblioteket.stockholm.se/bibliotek/spanga-bibliotek,,,,,praesidia != 1
startup-stockholm-2025-10-13_17-23.xlsx - export.csv,963,Spånga Folkan,Stockholm,arts_and_entertainment,https://spangafolkan.se/,,,,,praesidia != 1
startup-stockholm-2025-10-13_17-23.xlsx - export.csv,964,Spårvägsmuseet,Stockholm,museum,http://www.sparvagsmuseet.se/,,,,,praesidia != 1
startup-stockholm-2025-10-13_17-23.xlsx - export.csv,965,Stadsbiblioteket Stockholm,Stockholm,library,http://biblioteket.stockholm.se/,,,,,praesidia != 1
startup-stockholm-2025-10-13_17-23.xlsx - export.csv,966,Stadsgårdsterminalen,Stockholm,cultural_center,https://www.stadsgardsterminalen.com/,,,,,praesidia != 1
startup-stockholm-2025-10-13_17-23.xlsx - export.csv,967,Stadsmuseet i Stockholm,Stockholm,history_museum,https://stadsmuseet.stockholm/,,,,,praesidia != 1
startup-stockholm-2025-10-13_17-23.xlsx - export.csv,968,Stallet - Världens Musik,Stockholm,music_venue,http://www.stallet.st/,,,,,praesidia != 1
startup-stockholm-2025-10-13_17-23.xlsx - export.csv,969,Stamuli AB,Stockholm,architectural_designer,http://www.stamuli.com/,,,,,praesidia != 1
startup-stockholm-2025-10-13_17-23.xlsx - export.csv,970,Stance Gallery,Stockholm,art_gallery,https://www.stancegallery.com/,,,,,praesidia != 1
startup-stockholm-2025-10-13_17-23.xlsx - export.csv,971,STAR DJ  Musik & DJ Skola,Stockholm,music_production,http://WWW.STARDJ.SE/,,,,,praesidia != 1
startup-stockholm-2025-10-13_17-23.xlsx - export.csv,972,Starlight,Stockholm,dance_club,https://stockholmstarlight.se/wp/,,,,,praesidia != 1
