name,website,praesidia,category,lat,lon,city
Strombro Building Workshop,http://www.strombro.se/,,architectural_designer,"59,31812","18,06699",Stockholm
"Stuck & Sten, Stocklassa",http://www.stucksten.se/,,commissioned_artist,"59,31093981","17,98880478",Stockholm
Stuckatörens våning museilägenhet Stadsmuseet,https://stadsmuseet.stockholm/historiska-rum/stuckatorens-vaning-1884/,,museum,"59,3373339","18,0684945",Stockholm
Studiefrämjandet,http://www.studieframjandet.se/,,community_services_non_profits,"59,3283919","17,983725",Stockholm
Studiefrämjandet Musik Stockholm,http://www.studieframjandet.se/studios,,community_services_non_profits,"59,3449444","18,0490615",Stockholm
Studieförbunden,http://www.studieforbunden.se/,,community_services_non_profits,"59,336746","18,0503479",Stockholm
Studieförbundet Bilda Öst,http://www.bilda.nu/,,community_services_non_profits,"59,3162646","18,0561345",Stockholm
Studio 44,https://studio44-stockholm.com/,,art_gallery,"59,3159381","18,082819",Stockholm
Studio 8a - event och kulturplats,http://www.flamencocenter.se/,,dance_school,"59,33567","18,05177",Stockholm
Studio ABC - ateljéhuset i Vällingby,http://studioabc.se/,,community_services_non_profits,"59,3593601","17,8740626",Stockholm
Studio Alster,http://www.studioalster.com/,,arts_and_crafts,"59,336209","18,0321059",Stockholm
Studio Barnhus,http://www.studiobarnhus.se/,,record_label,"59,33652","18,0578",Stockholm
Studio Blue,http://www.studioblue.se/,,music_production,"59,2778612","18,0936936",Stockholm
Studio Buller,http://www.studiobuller.com/,,music_production,"59,3057356","17,9852482",Stockholm
Studio Gröndahl,http://studiogrondahl.se/,,music_production,"59,3161187","18,009611",Stockholm
Studio Kransen,http://studiokransen.se/,,arts_and_crafts,"59,3006692","18,0097709",Stockholm
Studio Odette Stockholm,http://www.studio-odette.com/,,dance_school,"59,3472298","18,0671843",Stockholm
Studio Perra,https://studioperra.se/,,venue_and_event_space,"59,31508883","18,05422937",Stockholm
Studio Persia,http://www.studiopersia.com/,,architectural_designer,"59,3324137","18,0959687",Stockholm
Studio Rymden,https://Ingen webbplats,,music_production,"59,35427","18,10032",Stockholm
Studio Salsa,http://www.dansasalsa.se/,,dance_school,"59,340754","18,0488455",Stockholm
Studio Skutan,https://www.instagram.com/k18.studio/,,arts_and_entertainment,"59,3139","18,07725",Stockholm
Studio SN7,https://storanygatan7.se/,,cultural_center,"59,3250827","18,06785",Stockholm
Studio Stockholm Arkitektur,http://www.studiostockholm.se/,,architectural_designer,"59,3168101","18,0708588",Stockholm
Studio Touch,https://studiotouch.se/,,dance_school,"59,3430519","18,0321994",Stockholm
Studio44,https://studio44-stockholm.com/,,art_gallery,"59,3159311","18,0823696",Stockholm
