name,category,website,delete,comments,city,lat,lon
Lunar Sounds,music_production,https://lunarsounds.pl/,,,Gdańsk,"54,3586819","18,6835466"
Market Zone,photography_store_and_services,http://www.market-zone.pl/,,,Gdańsk,"54,4047164","18,5853957"
Maska Studio,record_label,https://maskastudio.pl/,,,Gdańsk,"54,3539879","18,5619244"
Mayones Guitars Basses,music_and_dvd_store,http://www.mayones.com/,,,Gdańsk,"54,38578","18,63147"
Mechaniczna Pomarańcza,dance_club,https://www.instagram.com/pomaranczamechaniczn,,,Gdańsk,"54,369605","18,610332"
Mediateka,library,Ingen webbplats,,Medioteka municipal ,Gdańsk,"54,377696","18,6069605"
Melody Pracownia Muzyczna,music_school,http://piotrnabrdalik.pl/,,,Gdańsk,"54,3601769","18,5903574"
Miasto. Klub Muzyczny,dance_club,http://www.miastoaniolow.com.pl/,,,Gdańsk,"54,3475348","18,6568644"
Miejska i Wojewódzka Biblioteka Publiczna w Gdańsku,library,http://www.wbpg.org.pl/filia_nr_71,,,Gdańsk,"54,3522589","18,5115176"
"Międzynarodowy Festiwal Muzyki Organowej, Chóralnej i Kameralnej",music_venue,https://festiwalorganowy.pl/,,,Gdańsk,"54,3498097","18,6530685"
Moje Studio     /      My Studio,music_production,https://twitter.com/softaudio,,,Gdańsk,"54,3983","18,66693"
Mona Rena Studio,fashion,http://www.monarena.studio/,,,Gdańsk,"54,3859987","18,616601"
Monoteatr,theatre,https://teatrwoknie.pl/projekty/,,,Gdańsk,"54,349","18,65211"
Mumuland,screen_printing_t_shirt_printing,Ingen webbplats,,,Gdańsk,"54,34013","18,65886"
Museum of Gdańsk,museum,https://linktr.ee/muzeumgdanska,,,Gdańsk,"54,348779","18,6526641"
Museum Of Gdańsk Science,museum,http://www.muzeumgdansk.pl/,,,Gdańsk,"54,3541976","18,6504896"
Museum of World War II in Gdańsk,museum,http://www.muzeum1939.pl/en/home-page,,,Gdańsk,"54,355833","18,660556"
Musicflow,music_school,https://www.youtube.com/@szkolamuzycznamusicflow,,,Gdańsk,"54,3946284","18,6085299"
Muzeum Archeologiczne w Gdańsku,history_museum,http://www.archeologia.pl/,,,Gdańsk,"54,34932","18,65642"
Muzeum Archidiecezjalne,museum,http://www.diecezja.gda.pl,,,Gdańsk,"54,4108556","18,5584001"
Muzeum Bistro,museum,http://www.zjedzwmuzeum.pl/,2,restaurant in the museum ,Gdańsk,"54,3571002","18,659538"
Muzeum Bursztynu. Oddział Muzeum Gdańska,museum,http://www.muzeumgdansk.pl/,,,Gdańsk,"54,3540547","18,6501462"
Muzeum II Wojny Światowej,history_museum,http://www.muzeum1939.pl/,,,Gdańsk,"54,3558333","18,6605556"
Muzeum II Wojny Swiatowej w Gdansku,museum,http://www.muzeum1939.pl,,,Gdańsk,"54,349675","18,648437"
Muzeum Kryminalistyki w Gdańsku,museum,Ingen webbplats,,,Gdańsk,"54,3987302","18,5715914"
Muzeum Lechii Gdańsk,museum,http://Lechia.pl/,,,Gdańsk,"54,3908392","18,6391237"
Muzeum Narodowe,museum,http://mng.gda.pl/,,,Gdańsk,"54,3454254","18,6468975"
Muzeum Poczty Polskiej - Muzeum Gdańska,museum,https://muzeumgdansk.pl/oddzialy-muzeum/muzeum-poczty-polskiej-w-gdansku,,,Gdańsk,"54,3552544","18,6567343"
Muzeum Techniki ZSŁ Gdańsk,museum,https://muzeum.zsl.gda.pl/,,,Gdańsk,"54,353937","18,657073"
Muzeum Uniwersytetu Gdańskiego,museum,https://muzeum.ug.edu.pl/,,,Gdańsk,"54,35384","18,64735"
Muzeum Zegarów Wieżowych,museum,http://www.mhmg.pl,,,Gdańsk,"54,3539924","18,6508594"
Muzyczna Piwnica,music_and_dvd_store,http://www.muzycznapiwnica.pl,,,Gdańsk,"54,402987","18,5925313"
Muzyka u Uphagena,music_venue,https://www.fundacjahanseatica.com/,,,Gdańsk,"54,3752","18,61982"
Narodowe Muzeum Morskie w Gdańsku,museum,http://www.nmm.pl/,,,Gdańsk,"54,3510278","18,6579477"
Nasz Gdańsk,mass_media,http://www.naszgdansk.net/,,,Gdańsk,"54,34799","18,66067"
Niepubliczna Szkoła Muzyczna I stopnia w Gdańsku,music_school,Ingen webbplats,,,Gdańsk,"54,3492535","18,5077323"
Night Club Mercedess,dance_club,http://mercedess.pl/,,,Gdańsk,"54,4026326","18,5820753"
NOMUS Nowe Muzeum Sztuki w Gdańsku,museum,http://www.nomus.gda.pl/,,contemporary art muzeum,Gdańsk,"54,3631174","18,6478636"
